"cellsource"	"rightfoot"	"travel"	"getlunch"	"height"	"gender"	"age"	"year"	"armspan"	"cellcost"
"3"	"parent"	21	"motor"	"home"	137	"male"	10	6	132	55
"6"	"parent"	19	"motor"	"home"	137	"female"	11	7	50	50
"8"	"pocket"	35	"motor"	"tuckshop"	150	"female"	15	11	100	20
"13"	"job"	13	"bus"	"home"	180	"female"	14	9	165	20
"16"	"parent"	28	"motor"	"home"	176	"male"	14	9	178	20
"18"	"other"	23	"motor"	"home"	145	"male"	10	6	144	25
"23"	"job"	29	"walk"	"none"	165	"female"	13	9	164	50
"26"	"other"	27	"bus"	"home"	180	"male"	13	9	26	60
"28"	"parent"	24	"motor"	"home"	163	"female"	14	10	158	20
"33"	"parent"	21	"motor"	"home"	150	"female"	13	9	147	50
"36"	"parent"	21	"motor"	"home"	135	"female"	11	6	137	20
"38"	"other"	21	"motor"	"home"	123	"male"	10	5	114	5
"43"	"pocket"	25	"train"	"tuckshop"	165	"male"	16	10	120	100
"46"	NA	21	"motor"	"home"	136	"female"	9	5	135	NA
"48"	"pocket"	25	"motor"	"home"	153	"female"	12	8	155	20
"53"	NA	25	"walk"	"home"	144	"male"	11	7	37	NA
"56"	NA	24	"walk"	"home"	152	"female"	12	8	159	NA
"58"	"parent"	15	"walk"	"tuckshop"	NA	"female"	15	11	32	200
"63"	"parent"	NA	"motor"	"tuckshop"	154	"female"	13	9	154	10
"66"	NA	NA	"walk"	"home"	163	"male"	11	7	155	NA
"68"	"job"	25	"walk"	"home"	160	"male"	14	9	160	10
"73"	"parent"	36	"walk"	"dairy"	189	"male"	13	8	151	12
"76"	"pocket"	NA	"walk"	"home"	176	"male"	14	10	170	20
"78"	"other"	26	"walk"	"home"	156	"female"	11	7	152	0
"83"	"parent"	24	"motor"	"home"	152	"male"	12	8	153	0
"86"	"parent"	26	"motor"	"none"	157	"female"	15	10	165	20
"88"	NA	24	"bike"	"home"	147	"male"	10	6	147	NA
"93"	"pocket"	22	"motor"	"home"	160	"female"	12	8	150	10
"96"	"other"	19	"train"	"home"	151	"female"	13	9	149	20
"98"	"pocket"	22	"walk"	"friend"	160	"female"	14	10	100	20
"103"	NA	23	"motor"	"home"	157	"male"	11	7	148	NA
"106"	NA	25	"walk"	"home"	162	"male"	10	6	156	NA
"108"	"parent"	23	"bus"	"home"	167	"female"	14	10	170	20
"113"	"job"	25	"motor"	"home"	167	"female"	17	13	167	NA
"116"	"pocket"	23	"motor"	"home"	170	"female"	13	9	70	10
"118"	NA	22	"motor"	"home"	130	"female"	11	7	144	NA
"123"	NA	23	"motor"	"home"	NA	"female"	9	5	NA	NA
"126"	"parent"	24	"walk"	"home"	156	"male"	13	9	173	10
"128"	"parent"	24	"motor"	"home"	164	"female"	13	9	145	10
"133"	NA	24	"motor"	"home"	147	"female"	11	6	NA	NA
"136"	"parent"	20	"bike"	"tuckshop"	140	"male"	11	6	128	200
"138"	"parent"	22	"bus"	"tuckshop"	153	"female"	15	10	155	20
"143"	"other"	25	"motor"	"home"	175	"female"	14	10	180	40
"146"	"parent"	24	"bus"	"home"	167	"female"	13	9	166	10
"148"	"pocket"	22	"walk"	"dairy"	165	"male"	12	7	175	5
"153"	"parent"	23	"walk"	"tuckshop"	151	"female"	13	8	152	10
"156"	"other"	26	"motor"	"home"	150	"male"	12	8	100	10
"158"	"pocket"	NA	"motor"	"home"	151	"female"	12	8	NA	0
"163"	NA	20	"bus"	"home"	132	"female"	9	5	124	NA
"166"	"pocket"	40	"motor"	"none"	172	"male"	14	10	180	30
"168"	NA	22	"bike"	"home"	139	"male"	9	5	142	NA
"173"	"other"	25	"motor"	"home"	166	"male"	12	8	110	0
"176"	"parent"	12	"bus"	"none"	171	"male"	14	4	171	10
"178"	"pocket"	27	"walk"	"home"	164	"female"	15	10	NA	NA
"183"	"pocket"	29	"motor"	"home"	161	"male"	11	8	161	160
"186"	NA	20	"walk"	"home"	142	"male"	9	5	137	NA
"188"	"pocket"	21	"motor"	"home"	157	"female"	12	8	157	10
"193"	NA	23	"walk"	"home"	167	"male"	14	9	167	NA
"196"	NA	10	"motor"	"home"	132	"male"	8	4	139	NA
"198"	"parent"	26	"bus"	"tuckshop"	180	"male"	14	10	76	10
"203"	"parent"	22	"motor"	"home"	151	"female"	12	7	156	10
"206"	NA	27	"bus"	"home"	150	"female"	10	6	150	NA
"208"	"other"	22	"motor"	"home"	141	"female"	13	8	144	20
"213"	"parent"	23	"bike"	"none"	158	"male"	14	9	120	50
"216"	NA	22	"motor"	"home"	148	"female"	11	7	157	NA
"218"	"job"	27	"walk"	"home"	167	"female"	14	10	166	10
"223"	"pocket"	15	"bike"	"tuckshop"	141	"male"	12	8	100	10
"226"	"job"	23	"motor"	"dairy"	163	"female"	14	10	143	20
"228"	NA	22	"motor"	"home"	137	"female"	10	6	146	NA
"233"	"parent"	24	"motor"	"home"	180	"male"	14	9	NA	20
"236"	"job"	23	"bus"	"tuckshop"	155	"female"	14	10	155	10
"238"	NA	22	"motor"	"home"	162	"female"	13	8	155	NA
"243"	"other"	27	"bus"	"home"	128	"female"	14	10	192	0
"246"	NA	22	"motor"	"home"	154	"male"	10	6	143	NA
"248"	"pocket"	27	"bus"	"dairy"	171	"male"	13	9	168	40
"253"	NA	23	"motor"	"home"	156	"female"	10	6	NA	NA
"256"	"parent"	23	"walk"	"home"	171	"male"	13	9	155	0
"258"	"pocket"	22	"bus"	"school"	154	"female"	11	6	NA	10
"263"	"parent"	22	"motor"	"home"	156	"female"	13	8	52	20
"266"	"pocket"	20	"motor"	"home"	143	"male"	10	6	137	40
"268"	NA	44	"motor"	"tuckshop"	172	"female"	14	10	90	NA
"273"	NA	20	"motor"	"dairy"	129	"male"	10	6	135	NA
"276"	NA	20	"bus"	"home"	143	"male"	12	7	148	NA
"278"	NA	22	"bike"	"home"	144	"male"	9	5	145	NA
"283"	"parent"	22	"bus"	"tuckshop"	157	"female"	13	8	156	20
